dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
TCGA_BRCA;PHF23;Basal-like;OS;0,5;-0,3;189;0,71
TCGA_BRCA;PHF23;Basal-like;DFS;0,92;0;189;0,98
TCGA_BRCA;PLEKHF1;All-tumours;OS;0,39;0,1;1074;0,90
TCGA_BRCA;PLEKHF1;All-tumours;DFS;0,66;0,1;1074;0,90
TCGA_BRCA;PLEKHF1;Luminal-A;OS;0,9;0;543;0,90
TCGA_BRCA;PLEKHF1;Luminal-A;DFS;0,69;0,1;543;0,90
TCGA_BRCA;PLEKHF1;Luminal-B;OS;0,9;0;201;0,90
TCGA_BRCA;PLEKHF1;Luminal-B;DFS;0,88;0;201;0,90
TCGA_BRCA;PLEKHF1;HER2-enriched;OS;0,13;0,8;82;0,90
TCGA_BRCA;PLEKHF1;HER2-enriched;DFS;0,27;0,5;82;0,90
TCGA_BRCA;PLEKHF1;Basal-like;OS;0,5;-0,3;189;0,90
TCGA_BRCA;PLEKHF1;Basal-like;DFS;0,77;-0,1;189;0,90
TCGA_BRCA;THOC6;All-tumours;OS;0,52;0,1;1074;0,74
TCGA_BRCA;THOC6;All-tumours;DFS;0,66;0,1;1074;0,83
TCGA_BRCA;THOC6;Luminal-A;OS;0,46;0,2;543;0,74
TCGA_BRCA;THOC6;Luminal-A;DFS;0,85;0;543;0,85
TCGA_BRCA;THOC6;Luminal-B;OS;0,48;-0,3;201;0,74
TCGA_BRCA;THOC6;Luminal-B;DFS;0,45;-0,2;201;0,74
TCGA_BRCA;THOC6;HER2-enriched;OS;0,13;0,8;82;0,74
TCGA_BRCA;THOC6;HER2-enriched;DFS;0,22;0,6;82;0,74
TCGA_BRCA;THOC6;Basal-like;OS;0,44;-0,3;189;0,74
TCGA_BRCA;THOC6;Basal-like;DFS;0,78;-0,1;189;0,85
TCGA_BRCA;DCAF10;All-tumours;OS;0,22;0,2;1074;0,37
TCGA_BRCA;DCAF10;All-tumours;DFS;0,14;0,2;1074;0,28
TCGA_BRCA;DCAF10;Luminal-A;OS;0,79;0,1;543;0,79
TCGA_BRCA;DCAF10;Luminal-A;DFS;0,28;-0,2;543;0,40
TCGA_BRCA;DCAF10;Luminal-B;OS;0,01;0,9;201;0,05
TCGA_BRCA;DCAF10;Luminal-B;DFS;0,01;0,9;201;0,05
TCGA_BRCA;DCAF10;HER2-enriched;OS;0,06;-1;82;0,15
TCGA_BRCA;DCAF10;HER2-enriched;DFS;0,02;-1,1;82;0,07
TCGA_BRCA;DCAF10;Basal-like;OS;0,61;-0,2;189;0,68
TCGA_BRCA;DCAF10;Basal-like;DFS;0,35;-0,3;189;0,44
TCGA_BRCA;FYCO1;All-tumours;OS;0,8;0;1074;0,80
TCGA_BRCA;FYCO1;All-tumours;DFS;0,36;0,1;1074;0,54
TCGA_BRCA;FYCO1;Luminal-A;OS;0,09;-0,4;543;0,22
TCGA_BRCA;FYCO1;Luminal-A;DFS;0,38;-0,2;543;0,54
TCGA_BRCA;FYCO1;Luminal-B;OS;0,07;0,7;201;0,22
TCGA_BRCA;FYCO1;Luminal-B;DFS;0,05;0,7;201;0,22
TCGA_BRCA;FYCO1;HER2-enriched;OS;0,15;-0,8;82;0,30
TCGA_BRCA;FYCO1;HER2-enriched;DFS;0,09;-0,8;82;0,22
TCGA_BRCA;FYCO1;Basal-like;OS;0,66;0,2;189;0,80
TCGA_BRCA;FYCO1;Basal-like;DFS;0,73;-0,1;189;0,80
TCGA_BRCA;WDR25;All-tumours;OS;0,08;0,3;1074;0,30
TCGA_BRCA;WDR25;All-tumours;DFS;0,05;0,3;1074;0,30
TCGA_BRCA;WDR25;Luminal-A;OS;0,09;0,4;543;0,30
TCGA_BRCA;WDR25;Luminal-A;DFS;0,41;0,2;543;0,91
TCGA_BRCA;WDR25;Luminal-B;OS;0,91;0;201;0,91
TCGA_BRCA;WDR25;Luminal-B;DFS;0,88;0,1;201;0,91
TCGA_BRCA;WDR25;HER2-enriched;OS;0,64;-0,2;82;0,91
TCGA_BRCA;WDR25;HER2-enriched;DFS;0,91;0,1;82;0,91
TCGA_BRCA;WDR25;Basal-like;OS;0,81;-0,1;189;0,91
TCGA_BRCA;WDR25;Basal-like;DFS;0,91;0;189;0,91
TCGA_BRCA;SPAG16;All-tumours;OS;0,12;-0,3;1074;0,33
TCGA_BRCA;SPAG16;All-tumours;DFS;0,34;-0,1;1074;0,38
TCGA_BRCA;SPAG16;Luminal-A;OS;0,06;-0,5;543;0,33
TCGA_BRCA;SPAG16;Luminal-A;DFS;0,07;-0,4;543;0,33
TCGA_BRCA;SPAG16;Luminal-B;OS;0,31;-0,4;201;0,38
TCGA_BRCA;SPAG16;Luminal-B;DFS;0,52;-0,2;201;0,52
TCGA_BRCA;SPAG16;HER2-enriched;OS;0,27;0,6;82;0,38
TCGA_BRCA;SPAG16;HER2-enriched;DFS;0,2;0,6;82;0,33
TCGA_BRCA;SPAG16;Basal-like;OS;0,13;-0,6;189;0,33
TCGA_BRCA;SPAG16;Basal-like;DFS;0,2;-0,4;189;0,33
TCGA_BRCA;CORO7;All-tumours;OS;0,97;0;1074;0,99
TCGA_BRCA;CORO7;All-tumours;DFS;0,47;0,1;1074;0,99
TCGA_BRCA;CORO7;Luminal-A;OS;0,64;0,1;543;0,99
TCGA_BRCA;CORO7;Luminal-A;DFS;0,44;0,2;543;0,99
TCGA_BRCA;CORO7;Luminal-B;OS;0,84;-0,1;201;0,99
TCGA_BRCA;CORO7;Luminal-B;DFS;0,82;-0,1;201;0,99
TCGA_BRCA;CORO7;HER2-enriched;OS;0,52;0,3;82;0,99
TCGA_BRCA;CORO7;HER2-enriched;DFS;0,16;0,7;82;0,90
TCGA_BRCA;CORO7;Basal-like;OS;0,18;-0,5;189;0,90
TCGA_BRCA;CORO7;Basal-like;DFS;0,99;0;189;0,99
TCGA_BRCA;VCPKMT;All-tumours;OS;0,73;-0,1;1074;0,91
TCGA_BRCA;VCPKMT;All-tumours;DFS;0,32;-0,1;1074;0,91
TCGA_BRCA;VCPKMT;Luminal-A;OS;0,43;-0,2;543;0,91
TCGA_BRCA;VCPKMT;Luminal-A;DFS;0,07;-0,4;543;0,70
TCGA_BRCA;VCPKMT;Luminal-B;OS;0,58;0,2;201;0,91
TCGA_BRCA;VCPKMT;Luminal-B;DFS;0,55;0,2;201;0,91
TCGA_BRCA;VCPKMT;HER2-enriched;OS;0,93;0;82;0,93
TCGA_BRCA;VCPKMT;HER2-enriched;DFS;0,66;-0,2;82;0,91
TCGA_BRCA;VCPKMT;Basal-like;OS;0,6;-0,2;189;0,91
TCGA_BRCA;VCPKMT;Basal-like;DFS;0,93;0;189;0,93
TCGA_BRCA;PLEKHF2;All-tumours;OS;0,25;-0,2;1074;0,76
TCGA_BRCA;PLEKHF2;All-tumours;DFS;0,8;0;1074;0,80
TCGA_BRCA;PLEKHF2;Luminal-A;OS;0,51;-0,2;543;0,76
TCGA_BRCA;PLEKHF2;Luminal-A;DFS;0,65;-0,1;543;0,76
TCGA_BRCA;PLEKHF2;Luminal-B;OS;0,54;0,2;201;0,76
TCGA_BRCA;PLEKHF2;Luminal-B;DFS;0,31;0,3;201;0,76
TCGA_BRCA;PLEKHF2;HER2-enriched;OS;0,39;-0,4;82;0,76
TCGA_BRCA;PLEKHF2;HER2-enriched;DFS;0,68;-0,2;82;0,76
TCGA_BRCA;PLEKHF2;Basal-like;OS;0,45;-0,3;189;0,76
TCGA_BRCA;PLEKHF2;Basal-like;DFS;0,31;-0,3;189;0,76
TCGA_BRCA;MORC4;All-tumours;OS;0;-0,5;1074;0,00
TCGA_BRCA;MORC4;All-tumours;DFS;0;-0,4;1074;0,00
TCGA_BRCA;MORC4;Luminal-A;OS;0,09;-0,4;543;0,22
TCGA_BRCA;MORC4;Luminal-A;DFS;0,41;-0,2;543;0,46
TCGA_BRCA;MORC4;Luminal-B;OS;0,04;-0,8;201;0,13
TCGA_BRCA;MORC4;Luminal-B;DFS;0,12;-0,5;201;0,24
TCGA_BRCA;MORC4;HER2-enriched;OS;0,15;-0,7;82;0,25
TCGA_BRCA;MORC4;HER2-enriched;DFS;0,26;-0,5;82;0,33
TCGA_BRCA;MORC4;Basal-like;OS;0,94;0;189;0,94
TCGA_BRCA;MORC4;Basal-like;DFS;0,22;-0,4;189;0,31
TCGA_BRCA;IPO4;All-tumours;OS;0,11;0,3;1074;0,45
TCGA_BRCA;IPO4;All-tumours;DFS;0,06;0,3;1074;0,45
TCGA_BRCA;IPO4;Luminal-A;OS;0,94;0;543;0,94
TCGA_BRCA;IPO4;Luminal-A;DFS;0,77;0,1;543;0,91
TCGA_BRCA;IPO4;Luminal-B;OS;0,17;0,5;201;0,45
TCGA_BRCA;IPO4;Luminal-B;DFS;0,36;0,3;201;0,72
TCGA_BRCA;IPO4;HER2-enriched;OS;0,43;0,4;82;0,72
TCGA_BRCA;IPO4;HER2-enriched;DFS;0,18;0,6;82;0,45
TCGA_BRCA;IPO4;Basal-like;OS;0,64;-0,2;189;0,91
TCGA_BRCA;IPO4;Basal-like;DFS;0,82;-0,1;189;0,91
TCGA_BRCA;TBL1XR1;All-tumours;OS;0,24;0,2;1074;0,57
TCGA_BRCA;TBL1XR1;All-tumours;DFS;0,69;0,1;1074;0,77
TCGA_BRCA;TBL1XR1;Luminal-A;OS;0,3;0,3;543;0,57
TCGA_BRCA;TBL1XR1;Luminal-A;DFS;0,63;0,1;543;0,77
TCGA_BRCA;TBL1XR1;Luminal-B;OS;0,4;0,3;201;0,57
TCGA_BRCA;TBL1XR1;Luminal-B;DFS;0,31;0,3;201;0,57
TCGA_BRCA;TBL1XR1;HER2-enriched;OS;0,07;-1;82;0,35
TCGA_BRCA;TBL1XR1;HER2-enriched;DFS;0,03;-1;82;0,30
TCGA_BRCA;TBL1XR1;Basal-like;OS;0,38;0,3;189;0,57
TCGA_BRCA;TBL1XR1;Basal-like;DFS;0,89;0;189;0,89
TCGA_BRCA;SUV39H2;All-tumours;OS;0,04;-0,3;1074;0,20
TCGA_BRCA;SUV39H2;All-tumours;DFS;0,15;-0,2;1074;0,37
TCGA_BRCA;SUV39H2;Luminal-A;OS;0,06;-0,5;543;0,20
TCGA_BRCA;SUV39H2;Luminal-A;DFS;0,03;-0,5;543;0,20
TCGA_BRCA;SUV39H2;Luminal-B;OS;0,23;-0,5;201;0,46
TCGA_BRCA;SUV39H2;Luminal-B;DFS;0,43;-0,3;201;0,63
TCGA_BRCA;SUV39H2;HER2-enriched;OS;0,91;-0,1;82;0,92
TCGA_BRCA;SUV39H2;HER2-enriched;DFS;0,44;-0,3;82;0,63
TCGA_BRCA;SUV39H2;Basal-like;OS;0,86;-0,1;189;0,92
TCGA_BRCA;SUV39H2;Basal-like;DFS;0,92;0;189;0,92
TCGA_BRCA;WDR59;All-tumours;OS;0,81;0;1074;0,96
TCGA_BRCA;WDR59;All-tumours;DFS;0,86;0;1074;0,96
TCGA_BRCA;WDR59;Luminal-A;OS;0,18;-0,3;543;0,80
TCGA_BRCA;WDR59;Luminal-A;DFS;0,31;-0,2;543;0,80
TCGA_BRCA;WDR59;Luminal-B;OS;0,29;0,4;201;0,80
TCGA_BRCA;WDR59;Luminal-B;DFS;0,4;0,3;201;0,80
TCGA_BRCA;WDR59;HER2-enriched;OS;0,35;-0,5;82;0,80
TCGA_BRCA;WDR59;HER2-enriched;DFS;0,84;-0,1;82;0,96
TCGA_BRCA;WDR59;Basal-like;OS;0,86;0,1;189;0,96
TCGA_BRCA;WDR59;Basal-like;DFS;0,97;0;189;0,97
TCGA_BRCA;ZNF408;All-tumours;OS;0,68;0,1;1074;0,99
TCGA_BRCA;ZNF408;All-tumours;DFS;0,33;0,1;1074;0,99
TCGA_BRCA;ZNF408;Luminal-A;OS;0,75;-0,1;543;0,99
TCGA_BRCA;ZNF408;Luminal-A;DFS;0,5;-0,2;543;0,99
TCGA_BRCA;ZNF408;Luminal-B;OS;0,99;0;201;0,99
TCGA_BRCA;ZNF408;Luminal-B;DFS;0,73;0,1;201;0,99
TCGA_BRCA;ZNF408;HER2-enriched;OS;0,97;0;82;0,99
TCGA_BRCA;ZNF408;HER2-enriched;DFS;0,62;0,2;82;0,99
TCGA_BRCA;ZNF408;Basal-like;OS;0,92;0;189;0,99
TCGA_BRCA;ZNF408;Basal-like;DFS;0,35;0,3;189;0,99
TCGA_BRCA;GSTCD;All-tumours;OS;0,21;-0,2;1074;0,30
TCGA_BRCA;GSTCD;All-tumours;DFS;0,38;-0,1;1074;0,42
TCGA_BRCA;GSTCD;Luminal-A;OS;0,18;-0,3;543;0,30
TCGA_BRCA;GSTCD;Luminal-A;DFS;0,03;-0,5;543;0,13
TCGA_BRCA;GSTCD;Luminal-B;OS;0,53;0,2;201;0,53
TCGA_BRCA;GSTCD;Luminal-B;DFS;0,25;0,4;201;0,31
TCGA_BRCA;GSTCD;HER2-enriched;OS;0,05;-1;82;0,13
TCGA_BRCA;GSTCD;HER2-enriched;DFS;0,08;-0,8;82;0,16
TCGA_BRCA;GSTCD;Basal-like;OS;0,04;-0,8;189;0,13
TCGA_BRCA;GSTCD;Basal-like;DFS;0,01;-0,9;189;0,10
TCGA_BRCA;EHMT1;All-tumours;OS;0,36;-0,1;1074;0,56
TCGA_BRCA;EHMT1;All-tumours;DFS;0,47;-0,1;1074;0,56
TCGA_BRCA;EHMT1;Luminal-A;OS;0,71;-0,1;543;0,71
TCGA_BRCA;EHMT1;Luminal-A;DFS;0,11;-0,4;543;0,37
TCGA_BRCA;EHMT1;Luminal-B;OS;0,09;0,6;201;0,37
TCGA_BRCA;EHMT1;Luminal-B;DFS;0,03;0,7;201;0,30
TCGA_BRCA;EHMT1;HER2-enriched;OS;0,26;-0,6;82;0,52
TCGA_BRCA;EHMT1;HER2-enriched;DFS;0,23;-0,5;82;0,52
TCGA_BRCA;EHMT1;Basal-like;OS;0,4;-0,3;189;0,56
TCGA_BRCA;EHMT1;Basal-like;DFS;0,5;-0,2;189;0,56
TCGA_BRCA;DNAI4;All-tumours;OS;0,11;0,3;1074;0,54
TCGA_BRCA;DNAI4;All-tumours;DFS;0,25;0,2;1074;0,54
TCGA_BRCA;DNAI4;Luminal-A;OS;0,74;0,1;543;0,74
TCGA_BRCA;DNAI4;Luminal-A;DFS;0,43;0,2;543;0,54
TCGA_BRCA;DNAI4;Luminal-B;OS;0,42;-0,3;201;0,54
TCGA_BRCA;DNAI4;Luminal-B;DFS;0,26;-0,4;201;0,54
TCGA_BRCA;DNAI4;HER2-enriched;OS;0,37;-0,5;82;0,54
TCGA_BRCA;DNAI4;HER2-enriched;DFS;0,54;-0,3;82;0,60
TCGA_BRCA;DNAI4;Basal-like;OS;0,42;-0,3;189;0,54
TCGA_BRCA;DNAI4;Basal-like;DFS;0,21;-0,4;189;0,54
TCGA_BRCA;CAMKMT;All-tumours;OS;0,68;0,1;1074;0,76
TCGA_BRCA;CAMKMT;All-tumours;DFS;0,12;-0,2;1074;0,63
TCGA_BRCA;CAMKMT;Luminal-A;OS;0,76;0,1;543;0,76
TCGA_BRCA;CAMKMT;Luminal-A;DFS;0,33;-0,2;543;0,66
TCGA_BRCA;CAMKMT;Luminal-B;OS;0,61;-0,2;201;0,76
TCGA_BRCA;CAMKMT;Luminal-B;DFS;0,17;-0,4;201;0,63
TCGA_BRCA;CAMKMT;HER2-enriched;OS;0,19;0,7;82;0,63
TCGA_BRCA;CAMKMT;HER2-enriched;DFS;0,43;0,4;82;0,72
TCGA_BRCA;CAMKMT;Basal-like;OS;0,52;-0,3;189;0,74
TCGA_BRCA;CAMKMT;Basal-like;DFS;0,28;-0,4;189;0,66
TCGA_BRCA;METTL8;All-tumours;OS;0,79;0;1074;0,90
TCGA_BRCA;METTL8;All-tumours;DFS;0,79;0;1074;0,90
TCGA_BRCA;METTL8;Luminal-A;OS;0,24;-0,3;543;0,90
TCGA_BRCA;METTL8;Luminal-A;DFS;0,71;-0,1;543;0,90
TCGA_BRCA;METTL8;Luminal-B;OS;0,33;0,3;201;0,90
TCGA_BRCA;METTL8;Luminal-B;DFS;0,56;0,2;201;0,90
TCGA_BRCA;METTL8;HER2-enriched;OS;0,39;0,4;82;0,90
TCGA_BRCA;METTL8;HER2-enriched;DFS;0,81;-0,1;82;0,90
TCGA_BRCA;METTL8;Basal-like;OS;0,91;0;189;0,91
TCGA_BRCA;METTL8;Basal-like;DFS;0,45;-0,3;189;0,90
TCGA_BRCA;ALG13;All-tumours;OS;0,9;0;1074;0,90
TCGA_BRCA;ALG13;All-tumours;DFS;0,73;0,1;1074;0,90
TCGA_BRCA;ALG13;Luminal-A;OS;0,61;-0,1;543;0,90
TCGA_BRCA;ALG13;Luminal-A;DFS;0,25;-0,3;543;0,90
TCGA_BRCA;ALG13;Luminal-B;OS;0,4;-0,3;201;0,90
TCGA_BRCA;ALG13;Luminal-B;DFS;0,51;-0,2;201;0,90
TCGA_BRCA;ALG13;HER2-enriched;OS;0,88;-0,1;82;0,90
TCGA_BRCA;ALG13;HER2-enriched;DFS;0,88;0,1;82;0,90
TCGA_BRCA;ALG13;Basal-like;OS;0,84;0,1;189;0,90
TCGA_BRCA;ALG13;Basal-like;DFS;0,62;0,2;189;0,90
TCGA_BRCA;SETD6;All-tumours;OS;0,69;0,1;1074;0,77
TCGA_BRCA;SETD6;All-tumours;DFS;0,16;0,2;1074;0,23
TCGA_BRCA;SETD6;Luminal-A;OS;0,1;-0,4;543;0,18
TCGA_BRCA;SETD6;Luminal-A;DFS;0,11;-0,4;543;0,18
TCGA_BRCA;SETD6;Luminal-B;OS;0,04;0,8;201;0,18
TCGA_BRCA;SETD6;Luminal-B;DFS;0,07;0,6;201;0,18
TCGA_BRCA;SETD6;HER2-enriched;OS;0,07;0,9;82;0,18
TCGA_BRCA;SETD6;HER2-enriched;DFS;0;1,3;82;0,00
TCGA_BRCA;SETD6;Basal-like;OS;0,91;0;189;0,91
TCGA_BRCA;SETD6;Basal-like;DFS;0,39;-0,3;189;0,49
TCGA_BRCA;JADE1;All-tumours;OS;0,98;0;1074;0,98
TCGA_BRCA;JADE1;All-tumours;DFS;0,63;-0,1;1074;0,98
TCGA_BRCA;JADE1;Luminal-A;OS;0,25;-0,3;543;0,87
TCGA_BRCA;JADE1;Luminal-A;DFS;0,13;-0,3;543;0,87
TCGA_BRCA;JADE1;Luminal-B;OS;0,89;0;201;0,98
TCGA_BRCA;JADE1;Luminal-B;DFS;0,26;-0,4;201;0,87
TCGA_BRCA;JADE1;HER2-enriched;OS;0,89;-0,1;82;0,98
TCGA_BRCA;JADE1;HER2-enriched;DFS;0,71;0,2;82;0,98
TCGA_BRCA;JADE1;Basal-like;OS;0,81;0,1;189;0,98
TCGA_BRCA;JADE1;Basal-like;DFS;0,91;0;189;0,98
TCGA_BRCA;CHD9;All-tumours;OS;0,91;0;1074;0,93
TCGA_BRCA;CHD9;All-tumours;DFS;0,93;0;1074;0,93
TCGA_BRCA;CHD9;Luminal-A;OS;0,02;-0,6;543;0,20
TCGA_BRCA;CHD9;Luminal-A;DFS;0,06;-0,4;543;0,30
TCGA_BRCA;CHD9;Luminal-B;OS;0,19;0,5;201;0,55
TCGA_BRCA;CHD9;Luminal-B;DFS;0,38;0,3;201;0,76
TCGA_BRCA;CHD9;HER2-enriched;OS;0,22;-0,7;82;0,55
TCGA_BRCA;CHD9;HER2-enriched;DFS;0,62;-0,2;82;0,77
TCGA_BRCA;CHD9;Basal-like;OS;0,52;0,2;189;0,77
TCGA_BRCA;CHD9;Basal-like;DFS;0,6;0,2;189;0,77
TCGA_BRCA;PAAF1;All-tumours;OS;0,58;-0,1;1074;0,92
TCGA_BRCA;PAAF1;All-tumours;DFS;0,86;0;1074;0,92
TCGA_BRCA;PAAF1;Luminal-A;OS;0,8;-0,1;543;0,92
TCGA_BRCA;PAAF1;Luminal-A;DFS;0,9;0;543;0,92
TCGA_BRCA;PAAF1;Luminal-B;OS;0,11;0,6;201;0,55
TCGA_BRCA;PAAF1;Luminal-B;DFS;0,04;0,7;201;0,40
TCGA_BRCA;PAAF1;HER2-enriched;OS;0,86;-0,1;82;0,92
TCGA_BRCA;PAAF1;HER2-enriched;DFS;0,92;0;82;0,92
TCGA_BRCA;PAAF1;Basal-like;OS;0,2;-0,5;189;0,67
TCGA_BRCA;PAAF1;Basal-like;DFS;0,37;-0,3;189;0,92
TCGA_BRCA;RUFY1;All-tumours;OS;0,76;0;1074;0,93
TCGA_BRCA;RUFY1;All-tumours;DFS;0,83;0;1074;0,93
TCGA_BRCA;RUFY1;Luminal-A;OS;0,71;0,1;543;0,93
TCGA_BRCA;RUFY1;Luminal-A;DFS;0,61;-0,1;543;0,93
TCGA_BRCA;RUFY1;Luminal-B;OS;0,48;-0,3;201;0,93
TCGA_BRCA;RUFY1;Luminal-B;DFS;0,82;-0,1;201;0,93
TCGA_BRCA;RUFY1;HER2-enriched;OS;0,92;0;82;0,93
TCGA_BRCA;RUFY1;HER2-enriched;DFS;0,93;0;82;0,93
TCGA_BRCA;RUFY1;Basal-like;OS;0,17;0,5;189;0,93
TCGA_BRCA;RUFY1;Basal-like;DFS;0,27;0,4;189;0,93
TCGA_BRCA;WDR26;All-tumours;OS;0,6;0,1;1074;0,96
TCGA_BRCA;WDR26;All-tumours;DFS;0,8;0;1074;0,96
TCGA_BRCA;WDR26;Luminal-A;OS;0,73;0,1;543;0,96
TCGA_BRCA;WDR26;Luminal-A;DFS;0,94;0;543;0,96
TCGA_BRCA;WDR26;Luminal-B;OS;0,69;-0,1;201;0,96
TCGA_BRCA;WDR26;Luminal-B;DFS;0,96;0;201;0,96
TCGA_BRCA;WDR26;HER2-enriched;OS;0,27;-0,6;82;0,96
TCGA_BRCA;WDR26;HER2-enriched;DFS;0,15;-0,7;82;0,96
TCGA_BRCA;WDR26;Basal-like;OS;0,75;0,1;189;0,96
TCGA_BRCA;WDR26;Basal-like;DFS;0,92;0;189;0,96
TCGA_BRCA;WDR82;All-tumours;OS;0,38;0,1;1074;0,64
TCGA_BRCA;WDR82;All-tumours;DFS;0,29;0,2;1074;0,64
TCGA_BRCA;WDR82;Luminal-A;OS;0,52;-0,2;543;0,64
TCGA_BRCA;WDR82;Luminal-A;DFS;0,84;0;543;0,84
TCGA_BRCA;WDR82;Luminal-B;OS;0,15;0,5;201;0,64
TCGA_BRCA;WDR82;Luminal-B;DFS;0,13;0,5;201;0,64
TCGA_BRCA;WDR82;HER2-enriched;OS;0,2;0,7;82;0,64
TCGA_BRCA;WDR82;HER2-enriched;DFS;0,47;0,3;82;0,64
TCGA_BRCA;WDR82;Basal-like;OS;0,51;0,2;189;0,64
TCGA_BRCA;WDR82;Basal-like;DFS;0,58;0,2;189;0,64
TCGA_BRCA;DCAF11;All-tumours;OS;0,99;0;1074;0,99
TCGA_BRCA;DCAF11;All-tumours;DFS;0,75;0;1074;0,87
TCGA_BRCA;DCAF11;Luminal-A;OS;0,64;-0,1;543;0,87
TCGA_BRCA;DCAF11;Luminal-A;DFS;0,56;0,1;543;0,87
TCGA_BRCA;DCAF11;Luminal-B;OS;0,6;-0,2;201;0,87
TCGA_BRCA;DCAF11;Luminal-B;DFS;0,55;-0,2;201;0,87
TCGA_BRCA;DCAF11;HER2-enriched;OS;0;-2;82;0,00
TCGA_BRCA;DCAF11;HER2-enriched;DFS;0,09;-0,8;82;0,45
TCGA_BRCA;DCAF11;Basal-like;OS;0,5;0,3;189;0,87
TCGA_BRCA;DCAF11;Basal-like;DFS;0,78;0,1;189;0,87
TCGA_BRCA;SKIC8;All-tumours;OS;0,67;0,1;1074;0,67
TCGA_BRCA;SKIC8;All-tumours;DFS;0,29;0,2;1074;0,53
TCGA_BRCA;SKIC8;Luminal-A;OS;0,37;0,2;543;0,53
TCGA_BRCA;SKIC8;Luminal-A;DFS;0,32;0,2;543;0,53
TCGA_BRCA;SKIC8;Luminal-B;OS;0,34;-0,3;201;0,53
TCGA_BRCA;SKIC8;Luminal-B;DFS;0,24;-0,4;201;0,53
TCGA_BRCA;SKIC8;HER2-enriched;OS;0,16;-0,7;82;0,53
TCGA_BRCA;SKIC8;HER2-enriched;DFS;0,57;-0,3;82;0,67
TCGA_BRCA;SKIC8;Basal-like;OS;0,24;0,4;189;0,53
TCGA_BRCA;SKIC8;Basal-like;DFS;0,64;0,2;189;0,67
TCGA_BRCA;THUMPD2;All-tumours;OS;0,14;-0,2;1074;0,28
TCGA_BRCA;THUMPD2;All-tumours;DFS;0,42;-0,1;1074;0,70
TCGA_BRCA;THUMPD2;Luminal-A;OS;0,76;-0,1;543;0,94
TCGA_BRCA;THUMPD2;Luminal-A;DFS;0,96;0;543;0,96
TCGA_BRCA;THUMPD2;Luminal-B;OS;0,05;-0,8;201;0,17
TCGA_BRCA;THUMPD2;Luminal-B;DFS;0,09;-0,6;201;0,22
TCGA_BRCA;THUMPD2;HER2-enriched;OS;0,85;-0,1;82;0,94
TCGA_BRCA;THUMPD2;HER2-enriched;DFS;0,64;-0,2;82;0,91
TCGA_BRCA;THUMPD2;Basal-like;OS;0,04;-0,9;189;0,17
TCGA_BRCA;THUMPD2;Basal-like;DFS;0,03;-0,8;189;0,17
TCGA_BRCA;ASXL3;All-tumours;OS;0,3;0,2;1074;0,54
TCGA_BRCA;ASXL3;All-tumours;DFS;0,63;0,1;1074;0,70
TCGA_BRCA;ASXL3;Luminal-A;OS;0,33;-0,3;543;0,54
TCGA_BRCA;ASXL3;Luminal-A;DFS;0,34;-0,2;543;0,54
TCGA_BRCA;ASXL3;Luminal-B;OS;0,4;-0,3;201;0,54
TCGA_BRCA;ASXL3;Luminal-B;DFS;0,22;-0,4;201;0,54
TCGA_BRCA;ASXL3;HER2-enriched;OS;0,9;-0,1;82;0,90
TCGA_BRCA;ASXL3;HER2-enriched;DFS;0,43;0,4;82;0,54
TCGA_BRCA;ASXL3;Basal-like;OS;0,16;0,6;189;0,54
TCGA_BRCA;ASXL3;Basal-like;DFS;0,41;0,3;189;0,54
TCGA_BRCA;SETD7;All-tumours;OS;0,02;-0,4;1074;0,07
TCGA_BRCA;SETD7;All-tumours;DFS;0,04;-0,3;1074;0,10
TCGA_BRCA;SETD7;Luminal-A;OS;0,01;-0,6;543;0,05
TCGA_BRCA;SETD7;Luminal-A;DFS;0;-0,7;543;0,00
TCGA_BRCA;SETD7;Luminal-B;OS;0,63;-0,2;201;0,63
TCGA_BRCA;SETD7;Luminal-B;DFS;0,62;-0,2;201;0,63
TCGA_BRCA;SETD7;HER2-enriched;OS;0,12;-0,8;82;0,24
TCGA_BRCA;SETD7;HER2-enriched;DFS;0,2;-0,6;82;0,33
TCGA_BRCA;SETD7;Basal-like;OS;0,47;-0,3;189;0,59
TCGA_BRCA;SETD7;Basal-like;DFS;0,43;-0,3;189;0,59
TCGA_BRCA;TDRD3;All-tumours;OS;0,13;0,2;1074;0,43
TCGA_BRCA;TDRD3;All-tumours;DFS;0,52;0,1;1074;0,84
TCGA_BRCA;TDRD3;Luminal-A;OS;0,58;0,1;543;0,84
TCGA_BRCA;TDRD3;Luminal-A;DFS;0,76;0,1;543;0,84
TCGA_BRCA;TDRD3;Luminal-B;OS;0,63;0,2;201;0,84
TCGA_BRCA;TDRD3;Luminal-B;DFS;0,5;0,2;201;0,84
TCGA_BRCA;TDRD3;HER2-enriched;OS;0,01;-1,6;82;0,05
TCGA_BRCA;TDRD3;HER2-enriched;DFS;0;-1,4;82;0,00
TCGA_BRCA;TDRD3;Basal-like;OS;0,75;0,1;189;0,84
TCGA_BRCA;TDRD3;Basal-like;DFS;0,98;0;189;0,98
TCGA_BRCA;SEH1L;All-tumours;OS;0,47;0,1;1074;0,59
TCGA_BRCA;SEH1L;All-tumours;DFS;0,42;0,1;1074;0,59
